term,Estimate,Std. Error,z value,Pr(>|z|),effect
(Intercept),-8.209381704048722,2.775520504118377,-2.9577809610368453,0.0030986222142703997,(Intercept)
meanmal0,-0.5478657097941655,7.351967000097978,-0.07451960948503498,0.9405969384342435,NDE (direct)
meanmal1,13.932042044279328,4.422616274655698,3.1501810645699626,0.0016316930317765686,NIE (indirect via proteins)
lung_density_vnb_P2,0.015622519767425735,0.016551299451862442,0.94388478758795,0.3452285265708116,lung_density_vnb_P2
Age_P2,0.06123626909647325,0.027642417603609477,2.2153007734199477,0.026739426805954186,Age_P2
gender2,1.2466670834477453,0.42572231399726557,2.9283573880408644,0.003407581142011408,gender2
race2,-0.8411417182509857,0.5901977284299834,-1.425186302374548,0.15410335476453674,race2
ATS_PackYears_P2,0.012758964219281474,0.009518552574283287,1.340431133800002,0.18010521945640048,ATS_PackYears_P2
SmokCigNow_P21,2.9987984037467834,0.5311811191837792,5.645528983324524,1.6467412466185838e-8,SmokCigNow_P21
scanner_model_clean_P2Definition,-0.9853310576435471,1.6101405894727956,-0.6119534307039435,0.540568569196709,scanner_model_clean_P2Definition
scanner_model_clean_P2DefinitionAS,1.4801954457943165,1.6493956369870781,0.8974168553629518,0.3694965217147184,scanner_model_clean_P2DefinitionAS
scanner_model_clean_P2DefinitionAS+,-1.5395792292949582,1.680894356034584,-0.9159286089382774,0.35970434038627014,scanner_model_clean_P2DefinitionAS+
scanner_model_clean_P2DefinitionFlash,-0.5679389221664439,1.6114701558020574,-0.3524352716813242,0.7245118537350879,scanner_model_clean_P2DefinitionFlash
scanner_model_clean_P2DiscoveryCT750HD,0.47036002420582107,1.6247876042250875,0.2894901604263227,0.7722063085525738,scanner_model_clean_P2DiscoveryCT750HD
scanner_model_clean_P2FORCE,-2.52534927118008,2.0113802377137646,-1.255530517715794,0.20928623678410915,scanner_model_clean_P2FORCE
scanner_model_clean_P2LightSpeed16,-0.25802275532442337,1.593256434163285,-0.16194678382700312,0.8713477608879692,scanner_model_clean_P2LightSpeed16
scanner_model_clean_P2LightSpeedVCT,-2.181661260980369,1.6509343853515668,-1.3214706049724585,0.18634449752932758,scanner_model_clean_P2LightSpeedVCT
scanner_model_clean_P2LightSpeedVCT64,-2.5312310347466673,3.0688752682730978,-0.8248074012375971,0.40948094407518904,scanner_model_clean_P2LightSpeedVCT64
scanner_model_clean_P2Other,7.452684703895276,1.5925547313502524,4.679703973235817,2.872894184489799e-6,scanner_model_clean_P2Other
scanner_model_clean_P2RevolutionCT,-10.172462255621681,2.204849567561822,-4.613676327528615,3.956083415315918e-6,scanner_model_clean_P2RevolutionCT
scanner_model_clean_P2Sensation16,-6.0935318380562,1.7981824549075112,-3.388717213554182,7.022038758048002e-4,scanner_model_clean_P2Sensation16
scanner_model_clean_P2Sensation64,-5.354634627013415,1.696888395518797,-3.155560873157082,0.0016018983524993733,scanner_model_clean_P2Sensation64
BMI_P2,0.10225546019800096,0.0388551739865457,2.631707690548722,0.008495692276241315,BMI_P2
